Code,Facility Name,Province,County,Sub County,Ward
25110,Team Medical Clinic,Nakuru,Nakuru,Subukia,Subukia
15712,Tebei Dispensary,Baringo,Baringo,Marigat,Marigat
15713,Tebesonik Dispensary,Kericho,Kericho,Bureti,Tebesonik
20340,Technical Training Institute for the Deaf Dispensary (Karen),Nairobi,Nairobi,Langata,Karen
20540,Technical university of Kenya Student/Staff Clinic,Nairobi,Nairobi,Starehe,Landimawe
17627,Technical University of Mombasa Medical Clinic,Mombasa,Mombasa,Mvita,Tudor
24344,Ted Rayner Memorial Clinic,Homa Bay,Homa Bay,Kabondo Kasipul,Kojwach
24657,Teemgee Medical Centre,Kajiado,Kajiado,Kajiado East,Oloosirkon/Sholinke
24818,Teens Watch (FSW) Centre,Kwale,Kwale,Msambweni,Gambato Bongwe
21404,Teens Watch Centre,Kwale,Kwale,Msambweni,Ukunda
12788,Tefran Community Clinic,Machakos,Machakos,Athi River,Syokimau/Mulolongo
24692,Teganda dispensary,Bomet,Bomet,Bomet Central,Ndaraweta
25060,Tegat Dispensary (Kuresoi South),Nakuru,Nakuru,Kuresoi South,Keringet
15714,Tegat Sub County Hospital,Bomet,Bomet,Bomet East,Kembu
15715,Tegego Dispensary,Uasin Gishu,Uasin Gishu,Soy,Kipsomba
24422,Tegemeo ENT Medical Centre,Kisii,Kisii,Kitutu Chache South,Kitutu Central
12789,Tei Wa Yesu Health Centre,Kitui,Kitui,Mwingi North,Kyuso
20408,Tekeleza Dice Kisii,Kisii,Kisii,Kitutu Chache South,Kitutu Central
24166,Telesgaye Dispensary,Marsabit,Marsabit,North Horr,Illeret
13236,Tena (PCEA) Clinic,Nairobi,Nairobi,Embakasi West,Umoja I
24916,Tenamyles Healthcare,Nairobi,Nairobi,Embakasi West,Umoja II
15716,Tenden Dispensary,Elgeyo Marakwet,Elgeyo Marakwet,Marakwet West,Cherang'any/Chebororwa
19230,Tender Loving Care CFW Clinic,Embu,Embu,Manyatta,Gaturi North
21082,Tenderwa dispensary,Elgeyo Marakwet,Elgeyo Marakwet,Marakwet East,Kapyego
15717,Tenduet Dispensary,Bomet,Bomet,Konoin,Chepchabas
17859,Tendwet Dispensary,Nakuru,Nakuru,Kuresoi South,Keringet
15718,Tenges Health Centre,Baringo,Baringo,Baringo Central,Tenges
24143,Tenwek Hospital Annex (Bomet),Bomet,Bomet,Chepalungu,Nyangores
15719,Tenwek Mission Hospital,Bomet,Bomet,Bomet Central,Silibwet Township
21375,Teremkus Dispensary,Turkana,Turkana,Turkana West,Songot
15721,Teret Dispensary,Nakuru,Nakuru,Njoro,Mauche
12773,Tereza D'Lima Dispensary,Machakos,Machakos,Athi River,Kinanie
16417,Terige Dispensary (CDF),Nandi,Nandi,Emgwen,Kilibwoni
20185,Terry G Medical Clinic,Nakuru,Nakuru,Nakuru East,Nakuru East
16150,Teso North Sub County Hospital,Busia,Busia,Teso North,Malaba South
18418,Tesorie Dispensary,Wajir,Wajir,Wajir South,Lagboghoi South
23512,Testimony Medical Clinic,Kakamega,Kakamega,Mumias East,East Wanga
20595,Tetu Dispensary,Nakuru,Nakuru,Subukia,Subukia
11095,Tevica Medical Clinic,Kiambu,Kiambu,Thika Town,Kamenu
18058,Tewa Medical Clinic,Muranga,Muranga,Kandara,Ruchu
11088,Tewas Medical Clinic,Muranga,Muranga,Kiharu,Wangu
22804,Tewe Dispensary,Lamu,Lamu,Lamu West,Bahari
23693,Texas Cole Medical Clinic,Bomet,Bomet,Sotik,Kipsonoi
24580,Texas Medical Centre,Kiambu,Kiambu,Ruiru,Mwiki
11848,Tezo Community Health Care,Kilifi,Kilifi,Kilifi North,Tezo
23869,TF MyChemist Oilibya (Parklands),Nairobi,Nairobi,Westlands,Karura
12792,Thaana Nzau Dispensary,Kitui,Kitui,Mwingi West,Kyome/Thaana
11089,Thaara Medical Clinic,Nyeri,Nyeri,Mukurweini,Rugi
18569,Thaene Medical Clinic,Meru,Meru,Igembe South,Maua
23275,Thagana County Medical Centre,Kirinyaga,Kirinyaga,Kirinyaga West,Kariti
20693,Thageini Dispensary,Nyeri,Nyeri,Tetu,Aguthi-gaaki
19146,Thamare Dispensary,Meru,Meru,Igembe Central,Njia
12793,Thanantu Faith Clinic Dispensary,Tharaka Nithi,Tharaka Nithi,Tharaka North,Mukothima
11090,Thangathi Health Centre,Nyeri,Nyeri,Mukurweini,Mukurwe-ini Central
12795,Tharaka District Hospital,Tharaka Nithi,Tharaka Nithi,Tharaka South,Marimanti
12794,Tharaka Health Centre,Kitui,Kitui,Mwingi North,Tharaka
21028,Tharaka Nithi County Beyond Zero Mobile Clinic,Tharaka Nithi,Tharaka Nithi,Igambangombe,Igambang'ombe
25429,Thayu Medical Clinic,Nakuru,Nakuru,Nakuru North,Bahati
23544,The Aga Khan Health Service,Kwale,Kwale,Msambweni,Ukunda
18328,The Aga Khan University Hospital (Meru),Meru,Meru,Imenti North,Municipality
21137,The Aga Khan University Hospital Medical Center (Nyahururu),Laikipia,Laikipia,Laikipia West,Igwamiti
25044,The Aga Khan University Hospital Town Clinic,Nairobi,Nairobi,Starehe,Nairobi Central
21905,The Agakhan Medical Centre Kakamega,Kakamega,Kakamega,Lurambi,Mahiakalo
22176,The Agha Khan Medical Centre-Rigeways(Kiambu Rd.),Nairobi,Nairobi,Ruaraka,Utalii
22356,The Almond Clinic,Kitui,Kitui,Kitui West,Kauwi
19376,The Arcade medical centre,Nairobi,Nairobi,Ruaraka,Mathare North
23282,The Avenue Medical And Diagnostic Centre (Meru),Meru,Meru,Tigania East,Mikinduri
