County,Sub County,Facility,Mfl Code,Emr Site,Keph Level,Partner
Homa Bay,Ndhiwa,Ndisi Dispensary,"16,771",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Homa Bay Town,Homa Bay County Teaching and Referral Hospital,"13,608",Yes,Level 4,LVCT Vukisha 95
Homa Bay,Ndhiwa,Got Kojowi Health Centre,"13,589",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rachuonyo North,Kobuya Dispensary,"13,708",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rangwe,Obunga Dispensary,"13,957",Yes,Level 2,HOMA BAY CHMT
Homa Bay,Suba South,Suba District Hospital,"14,130",Yes,Level 4,LVCT Vukisha 95
Homa Bay,Rangwe,Kager Dispensary,"13,643",Yes,Level 2,HOMA BAY CHMT
Homa Bay,Suba South,Kiembe Dispensary,"18,077",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Ndhiwa,Ndhiwa DH,"13,841",Yes,Level 4,LVCT Vukisha 95
Homa Bay,Homa Bay Town,Kijawa Dispensary,"16,765",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Suba South,Nyamrisra Health Centre,"13,915",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Suba North,Ogongo Sub County Hospital,"13,967",Yes,Level 4,LVCT Vukisha 95
Homa Bay,Rachuonyo North,Lela (Community) Dispensary,"13,733",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Suba West,Soklo Dispensary,"14,095",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Rachuonyo North,Got Oyaro Dispensary,"13,592",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Homa Bay Town,Pala Masogo Health Center,"19,859",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Ndhiwa,Amoyo Dispensary,"16,768",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Suba North,Waware Dispensary,"14,171",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Rachuonyo North,Ngeta Dispensary,"20,168",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rachuonyo East,Ober Health Center,"13,953",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rachuonyo East,Atela Health Centre,"18,610",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rangwe,Obwanda Dispensary,"13,958",Yes,Level 2,HOMA BAY CHMT
Homa Bay,Homa Bay Town,GK Prison Dispensary (Homa Bay),"13,578",Yes,Level 3,LVCT Prisons
Homa Bay,Rachuonyo South,Agawo Health Centre,"13,466",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rachuonyo North,Chuowe Dispensary,"13,529",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rangwe,Nyawita Dispensary,"19,864",Yes,Level 2,HOMA BAY CHMT
Homa Bay,Homa Bay Town,Wiga Dispensary,"14,172",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Homa Bay Town,Miniambo Dispensary,"16,766",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Ndhiwa,Kobodo Dispensary,"20,241",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rangwe,Oneno Dispensary,"16,985",Yes,Level 2,HOMA BAY CHMT
Homa Bay,Rangwe,Wikoteng Dispensary,"19,865",Yes,Level 2,HOMA BAY CHMT
Homa Bay,Homa Bay Town,Makongeni Health Centre,"19,858",Yes,Level 4,LVCT Vukisha 95
Homa Bay,Rachuonyo East,Kabondo Sub County Hospital,"13,638",Yes,Level 4,HOMA BAY CHMT
Homa Bay,Suba South,Lwanda Gwassi Dispendary,"13,742",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Rangwe,Nduga Dispensary,"19,868",Yes,Level 2,HOMA BAY CHMT
Homa Bay,Suba South,Kigwa Dispensary,"13,691",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Suba South,Kisaku Dispensary,"13,700",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Rachuonyo East,Othoro Sub District Hospital,"14,002",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Ndhiwa,Pala Level4,"14,011",Yes,Level 4,LVCT Vukisha 95
Homa Bay,Suba North,Litare community health centre,"22,476",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rachuonyo South,Sino Health Centre,"14,092",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rachuonyo North,Homa Lime Health Centre,"13,607",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rangwe,Ngegu Dispensary,"13,849",Yes,Level 2,HOMA BAY CHMT
Homa Bay,Suba North,Obalwanda Dispensary,"13,950",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Ndhiwa,Lwanda Awiti Dispensary,"16,770",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Ndhiwa,Ombo Kachieng' Dispensary,"13,979",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rachuonyo North,Raruowa Health Centre,"14,039",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rachuonyo North,Adiedo Dispensary,"13,463",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Ndhiwa,Malela Dispensary,"13,761",Yes,Level 4,LVCT Vukisha 95
Homa Bay,Ndhiwa,Lambwe Forest Dispensary,"13,732",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rachuonyo North,Wagwe Health Center,"14,168",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Ndhiwa,Maram Dispensary,"16,258",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Suba North,Ndhuru Dispensary,"13,842",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Rachuonyo South,Rachuonyo sub-county Hospital,"14,022",Yes,Level 4,HOMA BAY CHMT
Homa Bay,Rangwe,Randung Dispensary,"14,031",Yes,Level 2,HOMA BAY CHMT
Homa Bay,Suba South,Seka Health Centre,"14,074",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rachuonyo North,Ndere Dispensary,"20,173",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rachuonyo North,Nyaoga Dispensary,"16,876",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Suba South,Msare Health Centre,"13,828",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Ndhiwa,Kwamo Dispensary,"13,728",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rachuonyo North,Kangir Dispensary,"20,169",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Suba North,Mbita DH,"13,798",Yes,Level 4,LVCT Vukisha 95
Homa Bay,Rachuonyo East,Masogo Dispensary,"13,784",Yes,Level 2,HOMA BAY CHMT
Homa Bay,Suba West,Remba Dispensary,"17,593",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Suba North,Ngodhe Island Dispensary,"13,854",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Suba North,Lambwe Dispensary,"13,731",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Ndhiwa,Kiasa Dispensary,"13,686",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rangwe,Nyarut Health Centre,"19,860",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Suba North,Ponge Dispensary (Mbita),"14,016",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Rachuonyo South,Ongamo Dispensary,"18,892",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rachuonyo South,Koywech Dispensary,"18,531",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Ndhiwa,Nguku Dispensary,"13,855",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rachuonyo East,Tala Health Centre,"17,170",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Suba South,Godbura Health Centre,"13,585",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rachuonyo North,Chuthber Dispensary,"13,530",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Ndhiwa,Otange Dispensary,"18,877",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rachuonyo East,Kokwanyo Health Centre,"13,712",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Ndhiwa,Ober Kabuoch Dispensary,"13,952",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rachuonyo North,Olando Dispensary,"13,974",Yes,Level 2,HOMA BAY CHMT
Homa Bay,Ndhiwa,Ponge Dispensary - Ndhiwa,"14,015",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Suba West,Takawiri Dispensary,"14,140",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Rachuonyo South,Ombek Health Centre,"13,978",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rachuonyo South,Nyangiela Sub District Hospital,"13,926",Yes,Level 4,HOMA BAY CHMT
Homa Bay,Rachuonyo North,Nyangajo Dispensary,"20,172",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rachuonyo North,Kajieyi Dispensary,"13,646",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rachuonyo East,Kauma Health Centre,"13,658",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Ndhiwa,Lwanda Kobita Dispensary,"20,285",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rachuonyo East,Got Kamondi Dispensary,"18,874",Yes,Level 2,HOMA BAY CHMT
Homa Bay,Ndhiwa,Magina Health Centre,"13,751",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Suba South,Ngeri Dispensary,"17,711",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Suba South,Kisegi SDH,"13,701",Yes,Level 4,LVCT Vukisha 95
Homa Bay,Suba West,Wakula Health Centre,"14,169",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Ndhiwa,Kachuth Dispensary,"18,876",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rachuonyo East,Omiro Dispensary,"13,981",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rachuonyo North,GK Prison Health Centre (Rachuonyo North),"30,176",Yes,Level 3,LVCT Prisons
Homa Bay,Homa Bay Town,Orego Health Centre,"21,163",New,Level 2,No Partner
Homa Bay,Homa Bay Town,Ojunge Health Centre,"21,610",New,Level 2,No Partner
Homa Bay,Homa Bay Town,Otaro Health Centre,"22,303",New,Level 2,No Partner
Homa Bay,Homa Bay Town,Gilbert Obora Pedo Health Centre,"28,505",New,Level 2,No Partner
Homa Bay,Homa Bay Town,Imbo Health Centre,"28,506",New,Level 2,No Partner
Homa Bay,Ndhiwa,Randhore Health Center,"22,493",New,Level 2,No Partner
Homa Bay,Ndhiwa,Andiwo Health Center,"23,478",New,Level 2,No Partner
Homa Bay,Ndhiwa,Odaso Health Center,"28,581",New,Level 2,No Partner
Homa Bay,Ndhiwa,Ondati Health Center,"29,273",New,Level 2,No Partner
Homa Bay,Ndhiwa,Rayudhi Health Center,"21,534",New,Level 2,No Partner
Homa Bay,Ndhiwa,Ongako Health Center,"23,442",New,Level 2,No Partner
Homa Bay,Ndhiwa,Kawanga Health Center,"23,479",New,Level 2,No Partner
Homa Bay,Ndhiwa,Kabongo Community Health Centre,"22,988",New,Level 2,No Partner
Homa Bay,Ndhiwa,Got Rachar Health Center,"28,513",New,Level 2,No Partner
Homa Bay,Ndhiwa,Abuoro Health Center,"25,228",New,Level 2,No Partner
Homa Bay,Ndhiwa,Wikomimo Dispensary,"21,537",New,Level 2,No Partner
Homa Bay,Ndhiwa,Ratanga Health center,"26,802",New,Level 2,No Partner
Homa Bay,Ndhiwa,Nyamogo Health Center,"25,759",New,Level 2,No Partner
Homa Bay,Ndhiwa,Nyamanga Health Center (Ndhiwa),"25,596",New,Level 2,No Partner
Homa Bay,Ndhiwa,Langi Kodera Dispensary,"25,260",New,Level 2,No Partner
Homa Bay,Ndhiwa,Raphedhi Health centre,"28,574",New,Level 2,No Partner
Homa Bay,Rachuonyo East,Odino Health Centre,"21,488",New,Level 2,No Partner
Homa Bay,Rachuonyo East,Awach Health Centre,"21,489",New,Level 2,No Partner
Homa Bay,Rachuonyo East,Harambee Health Centre,"21,491",New,Level 2,No Partner
Homa Bay,Rachuonyo East,Otondo Health Centre,"25,514",New,Level 2,No Partner
Homa Bay,Rachuonyo East,Dudu Health Centre,"28,496",New,Level 2,No Partner
Homa Bay,Rachuonyo East,God Agak Health Centre,"28,512",New,Level 2,No Partner
Homa Bay,Rachuonyo East,Kilusi Health center,"22,190",New,Level 2,No Partner
Homa Bay,Rachuonyo North,Magao health Centre,"21,247",New,Level 2,No Partner
Homa Bay,Rachuonyo North,Oriwo Health Centre,"21,360",New,Level 2,No Partner
Homa Bay,Rachuonyo North,Rakwaro Health Centre,"21,482",New,Level 2,No Partner
Homa Bay,Rachuonyo North,Pala Health Centre,"22,123",New,Level 2,No Partner
Homa Bay,Rachuonyo North,Ager Health Centre,"22,530",New,Level 2,No Partner
Homa Bay,Rachuonyo North,Okita Health Center,"22,532",New,Level 2,No Partner
Homa Bay,Rachuonyo North,Alaro Health centre,"22,533",New,Level 2,No Partner
Homa Bay,Rachuonyo North,Ngolo Health Centre,"24,180",New,Level 2,No Partner
Homa Bay,Rachuonyo North,Kichawa Health Center,"25,752",New,Level 2,No Partner
Homa Bay,Rachuonyo North,Nyanenje Health Centre,"27,018",New,Level 2,No Partner
Homa Bay,Rachuonyo North,Bala Health Centre,"28,515",New,Level 2,No Partner
Homa Bay,Rachuonyo North,Ogwang Bware Health Centre,"28,516",New,Level 2,No Partner
Homa Bay,Rachuonyo North,Oyombe Health Centre,"28,771",New,Level 2,No Partner
Homa Bay,Rachuonyo North,Amwono Health Centre,"28,772",New,Level 2,No Partner
Homa Bay,Rachuonyo North,Kodondi Health centre,"29,887",New,Level 2,No Partner
Homa Bay,Rachuonyo North,Kamser Seka Health Centre,"29,888",New,Level 2,No Partner
Homa Bay,Rachuonyo North,Kodula Community Dispenary,"21,246",New,Level 2,No Partner
Homa Bay,Rachuonyo South,Ojwando Health Centre,"20,152",New,Level 2,No Partner
Homa Bay,Rachuonyo South,Oredho Health Centre,"21,961",New,Level 2,No Partner
Homa Bay,Rachuonyo South,Aimo Dispensary,"22,860",New,Level 2,No Partner
Homa Bay,Rachuonyo South,Dol Kodera Health Centre,"24,094",New,Level 2,No Partner
Homa Bay,Rachuonyo South,Kamagak Health Centre,"26,563",New,Level 2,No Partner
Homa Bay,Rachuonyo South,Midland Health Centre,"28,557",New,Level 2,No Partner
Homa Bay,Rachuonyo South,Mbita Kalando Health Centre,"29,027",New,Level 2,No Partner
Homa Bay,Rachuonyo South,Rapogi Health Centre,"29,343",New,Level 2,No Partner
Homa Bay,Rachuonyo South,Nyahera Health Centre,"31,500",New,Level 2,No Partner
Homa Bay,Rachuonyo South,Kokech Mirondo Health Center,"21,212",New,Level 2,No Partner
Homa Bay,Rachuonyo South,Osiepe Health Centre,"31,535",New,Level 2,No Partner
Homa Bay,Rachuonyo South,Kwoyo Dispensary,"29,926",New,Level 2,No Partner
Homa Bay,Rangwe,Rachar Health Centre,"24,820",New,Level 2,No Partner
Homa Bay,Rangwe,Dago Health Centre,"31,191",New,Level 2,No Partner
Homa Bay,Suba North,Miorre Health Centre,"18,075",New,Level 2,No Partner
Homa Bay,Suba North,Kuge Health Centre,"18,076",New,Level 2,No Partner
Homa Bay,Suba North,Ogando Health Centre,"18,078",New,Level 2,No Partner
Homa Bay,Suba North,Kipasi Health Centre,"22,478",New,Level 2,No Partner
Homa Bay,Suba North,Kakrigu Health Centre,"25,832",New,Level 2,No Partner
Homa Bay,Suba North,Dwele Health Centre,"27,637",New,Level 2,No Partner
Homa Bay,Suba North,Wandiji Health Centre,"28,744",New,Level 2,No Partner
Homa Bay,Suba North,Kirambo Health Centre,"28,758",New,Level 2,No Partner
Homa Bay,Suba North,Temo Health Centre,"28,759",New,Level 2,No Partner
Homa Bay,Suba North,Chamakowa Health Centre,"31,309",New,Level 2,No Partner
Homa Bay,Suba North,Rapora Dispensary,"31,797",New,Level 2,No Partner
Homa Bay,Suba North,Nyakiawo Health Centre,"32,812",New,Level 2,No Partner
Homa Bay,Suba South,Nyalkembo Health Centre,"20,913",New,Level 2,No Partner
Homa Bay,Suba South,Kijebi Health Centre,"21,239",New,Level 2,No Partner
Homa Bay,Suba South,Opemble Health Centre,"21,252",New,Level 2,No Partner
Homa Bay,Suba South,Nyamadede Health Centre,"21,282",New,Level 2,No Partner
Homa Bay,Suba South,Mukende Health Centre,"21,326",New,Level 2,No Partner
Homa Bay,Suba South,Mukuyu Health Centre,"21,412",New,Level 2,No Partner
Homa Bay,Suba South,Gingo Health Centre,"22,590",New,Level 2,No Partner
Homa Bay,Suba South,Mwiregwa Health Centre,"23,522",New,Level 2,No Partner
Homa Bay,Suba South,Kibuogi Island Health Centre,"26,975",New,Level 2,No Partner
Homa Bay,Suba South,Osiri Health Centre,"26,976",New,Level 2,No Partner
Homa Bay,Rachuonyo East,Ringa Health Centre,"23,432",New,Level 2,HOMA BAY CHMT
Kilifi,Magarini,Adu Dispensary,"11,198",New,Level 2,Stawisha Pwani
Kilifi,Ganze,Bale Dispensary,"28,295",New,Level 2,Stawisha Pwani
Kilifi,Ganze,Bamba Sub County Hospital,"11,237",Yes,Level 4,Stawisha Pwani
Kilifi,Ganze,Bandari Dispensary,"24,130",New,Level 2,Stawisha Pwani
Kilifi,Malindi,Baolala Dispensary,"11,244",Yes,Level 3,Stawisha Pwani
Kilifi,Kilifi South,Barani Dispensary,"29,476",New,Level 2,Stawisha Pwani
Kilifi,Magarini,Baricho Dispensary,"11,248",New,Level 2,Stawisha Pwani
Kilifi,Kilifi South,Bomani Dispensary,"11,255",Yes,Level 2,Stawisha Pwani
Kilifi,Magarini,Bombi Dispensary,"11,256",New,Level 2,Stawisha Pwani
Kilifi,Magarini,Bore Imani Dispensary,"24,120",New,Level 2,Stawisha Pwani
Kilifi,Magarini,Bore Singwaya Dispensary,"20,309",New,Level 2,Stawisha Pwani
Kilifi,Rabai,Boyani Dispensary,"24,108",New,Level 2,Stawisha Pwani
Kilifi,Rabai,Bwagamoyo Dispensary,"11,266",Yes,Level 2,Stawisha Pwani
Kilifi,Magarini,Chakama Dispensary,"11,276",Yes,Level 2,Stawisha Pwani
Kilifi,Kaloleni,Chalani Dispensary,"16,191",New,Level 2,Stawisha Pwani
Kilifi,Magarini,Chamari Dispensary,"20,308",New,Level 2,Stawisha Pwani
Kilifi,Kilifi South,Chasimba Health Centre,"11,282",Yes,Level 3,Stawisha Pwani
Kilifi,Rabai,Chibarani Dispensary,"28,424",New,Level 2,Stawisha Pwani
Kilifi,Rabai,Chilodi Crossfit Health Centre,"23,924",New,Level 2,Stawisha Pwani
Kilifi,Kilifi North,Chumani Dispensary,"24,115",New,Level 2,Stawisha Pwani
Kilifi,Kilifi North,Cowdray Dispensary,"11,293",Yes,Level 2,Stawisha Pwani
Kilifi,Magarini,Dagamra Dispensary,"11,297",New,Level 2,Stawisha Pwani
Kilifi,Ganze,Dida Dispensary,"11,305",Yes,Level 2,Stawisha Pwani
Kilifi,Ganze,Dungicha Dispensary,"19,024",New,Level 2,Stawisha Pwani
Kilifi,Ganze,Dzikunze Dispensary,"11,359",Yes,Level 2,Stawisha Pwani
Kilifi,Magarini,Fundi Issa Dispensary,"11,379",New,Level 2,Stawisha Pwani
Kilifi,Malindi,Gahaleni Dispensary,"11,380",New,Level 2,Stawisha Pwani
Kilifi,Magarini,Galana Kulalu Dispensary,"31,026",New,Level 2,Stawisha Pwani
Kilifi,Malindi,Ganda Dispensary,"11,382",Yes,Level 2,Stawisha Pwani
Kilifi,Magarini,Gandini Dispensary,"18,300",New,Level 2,Stawisha Pwani
Kilifi,Ganze,Ganze Health Centre,"11,383",Yes,Level 3,Stawisha Pwani
Kilifi,Magarini,Garashi Dispensary,"11,384",New,Level 2,Stawisha Pwani
Kilifi,Kilifi North,Gede Health Cetre,"11,387",Yes,Level 3,Stawisha Pwani
Kilifi,Magarini,GK Prison Dispensary (Magarini),"11,394",Yes,Level 2,Stawisha Pwani
Kilifi,Kilifi North,GK Prison Dispensary Kilifi,"23,678",New,Level 2,LVCT Prisons
Kilifi,Magarini,Gongoni Health Centre,"11,401",Yes,Level 3,Stawisha Pwani
Kilifi,Ganze,Goshi Dispensary,"34,349",New,Level 2,Stawisha Pwani
Kilifi,Kaloleni,Gotani Model Health Centre,"11,404",Yes,Level 3,Stawisha Pwani
Kilifi,Ganze,Jaribuni Dispensary,"11,430",Yes,Level 2,Stawisha Pwani
Kilifi,Kaloleni,Jibana Sub District Hospital,"11,432",Yes,Level 4,Stawisha Pwani
Kilifi,Ganze,Jila Model Health Centre,"21,544",New,Level 3,Stawisha Pwani
Kilifi,Malindi,Jilore Dispensary,"11,433",New,Level 2,Stawisha Pwani
Kilifi,Kilifi North,Jimba Dispensary,"22,766",New,Level 2,Stawisha Pwani
Kilifi,Kilifi South,Junju Dispensary,"11,444",New,Level 2,Stawisha Pwani
Kilifi,Ganze,Kachororoni Dispensary,"21,545",New,Level 2,Stawisha Pwani
Kilifi,Kilifi North,Kadaina Community Dispensary,"11,445",New,Level 2,Stawisha Pwani
Kilifi,Magarini,Kadzandani Dispensary,"29,319",New,Level 2,Stawisha Pwani
Kilifi,Magarini,Kadzifitseni Dispensary,"24,121",New,Level 2,Stawisha Pwani
Kilifi,Kilifi North,Kadzinuni Dispensary,"11,447",New,Level 2,Stawisha Pwani
Kilifi,Ganze,Kaembeni Dispensary,"25,168",New,Level 2,Stawisha Pwani
Kilifi,Malindi,Kakoneni Dispensary,"11,452",New,Level 2,Stawisha Pwani
Kilifi,Malindi,Kakuyuni Dispensary (Malindi),"11,453",Yes,Level 2,Stawisha Pwani
Kilifi,Kaloleni,Kaloleni GK Prison Dispensary,"24,209",Yes,Level 2,Stawisha Pwani
Kilifi,Magarini,Kamale Dispensary,"23,121",New,Level 2,Stawisha Pwani
Kilifi,Rabai,Kambe Dispensary,"16,192",New,Level 2,Stawisha Pwani
Kilifi,Magarini,Kambi ya Waya Dispensary,"20,771",Yes,Level 2,Stawisha Pwani
Kilifi,Kaloleni,Kamkomani Dispensary,"19,189",New,Level 2,Stawisha Pwani
Kilifi,Rabai,Kanyumbuni Dispensary,"24,135",New,Level 2,Stawisha Pwani
Kilifi,Malindi,Kaoyeni Dispensary,"26,389",New,Level 2,Stawisha Pwani
Kilifi,Magarini,Karimboni Dispensary,"20,344",New,Level 2,Stawisha Pwani
Kilifi,Kaloleni,Kasemeni Dispensary,"21,546",New,Level 2,Stawisha Pwani
Kilifi,Magarini,Kavunyalalo Dispensary,"24,119",New,Level 2,Stawisha Pwani
Kilifi,Malindi,Kavunyalalo Paziani Dispensary,"25,369",New,Level 2,Stawisha Pwani
Kilifi,Kaloleni,Kibao Kiche Dispensary,"29,402",New,Level 2,Stawisha Pwani
Kilifi,Kilifi North,Kilifi County Hospital,"11,474",Yes,Level 4,Stawisha Pwani
Kilifi,Kilifi North,Kilifi Gk Prison Vct,"22,481",Yes,Level 2,Stawisha Pwani
Kilifi,Kaloleni,Kinarani Dispensary,"11,481",New,Level 2,Stawisha Pwani
Kilifi,Kaloleni,Kithengwani Dispensary,"31,214",New,Level 2,Stawisha Pwani
Kilifi,Kilifi North,Kiwandani Dispensary,"11,493",New,Level 2,Stawisha Pwani
Kilifi,Kilifi South,Kizingo Health Centre,"11,497",Yes,Level 3,Stawisha Pwani
Kilifi,Rabai,Kokotoni Dispensary,"17,017",Yes,Level 2,Stawisha Pwani
Kilifi,Rabai,Kombeni Dispensary,"11,498",New,Level 2,Stawisha Pwani
Kilifi,Kilifi North,Konjora Dispensary,"21,539",Yes,Level 2,Stawisha Pwani
Kilifi,Ganze,Kwa Dadu Dispensary,"26,135",New,Level 2,Stawisha Pwani
Kilifi,Rabai,Lenga Dispensary,"11,517",New,Level 2,Stawisha Pwani
Kilifi,Rabai,Lutsanga Dispensary,"28,572",New,Level 2,Stawisha Pwani
Kilifi,Ganze,Madamani Dispensary,"11,532",New,Level 2,Stawisha Pwani
Kilifi,Malindi,Madunguni Dispensary,"11,534",Yes,Level 2,Stawisha Pwani
Kilifi,Kaloleni,Madzimbani Dispensary,"23,653",New,Level 2,Stawisha Pwani
Kilifi,Magarini,Magarini Dispensary,"24,049",New,Level 2,Stawisha Pwani
Kilifi,Rabai,Makanzani Dispensary,"11,547",New,Level 2,Stawisha Pwani
Kilifi,Kaloleni,Makomboani Dispensary,"23,666",New,Level 2,Stawisha Pwani
Kilifi,Malindi,Malindi Sub-County Hospital,"11,555",New,Level 4,Stawisha Pwani
Kilifi,Magarini,Mambrui Dispensary,"11,559",Yes,Level 2,Stawisha Pwani
Kilifi,Magarini,Marafa Sub County Hospital,"11,562",Yes,Level 4,Stawisha Pwani
Kilifi,Magarini,Marereni Dispensary,"11,563",Yes,Level 2,Stawisha Pwani
Kilifi,Kaloleni,Mariakani Sub County Hospital,"11,566",New,Level 4,Stawisha Pwani
Kilifi,Malindi,Marikano Dispensary,"24,363",New,Level 2,Stawisha Pwani
Kilifi,Magarini,Marikebuni Dispensary,"11,571",Yes,Level 2,Stawisha Pwani
Kilifi,Magarini,Matolani Dispensary,"11,578",New,Level 2,Stawisha Pwani
Kilifi,Kilifi North,Matsangoni Model Health Centre,"11,580",Yes,Level 3,Stawisha Pwani
Kilifi,Kilifi North,Mavueni Dispensary,"18,482",New,Level 2,Stawisha Pwani
Kilifi,Ganze,Mbudzi Community Health Centre,"25,626",New,Level 2,Stawisha Pwani
Kilifi,Kilifi North,Mdzongoloni Dispensary,"31,054",New,Level 2,Stawisha Pwani
Kilifi,Kaloleni,Mgamboni Dispensary,"11,601",New,Level 2,Stawisha Pwani
Kilifi,Kilifi North,Mida-Majaoni Dispensary,"29,260",New,Level 2,Stawisha Pwani
Kilifi,Ganze,Midoina Dispensary,"11,609",New,Level 2,Stawisha Pwani
Kilifi,Kilifi North,Mijomboni Dispensary,"11,610",New,Level 2,Stawisha Pwani
Kilifi,Ganze,Mirihini Dispensary,"11,618",New,Level 2,Stawisha Pwani
Kilifi,Rabai,Mitsajeni Dispensary,"23,593",New,Level 2,Stawisha Pwani
Kilifi,Magarini,Mizijini Dispensary,"11,625",New,Level 2,Stawisha Pwani
Kilifi,Magarini,Mjanaheri Dispensary,"21,213",New,Level 2,Stawisha Pwani
Kilifi,Malindi,Mkaomoto Dispensary,"29,155",New,Level 2,Stawisha Pwani
Kilifi,Malindi,Mkondoni Dispensary,"21,541",New,Level 2,Stawisha Pwani
Kilifi,Malindi,Mmangani Dispensary,"20,036",New,Level 2,Stawisha Pwani
Kilifi,Kilifi North,Mnarani Dispensary,"11,636",New,Level 2,Stawisha Pwani
Kilifi,Malindi,Mongotini Dispensary,"27,037",New,Level 2,Stawisha Pwani
Kilifi,Ganze,Mrima Wa Ndege Dispensary,"24,118",New,Level 2,Stawisha Pwani
Kilifi,Malindi,Mshongoleni Community Dispensary,"20,300",New,Level 2,Stawisha Pwani
Kilifi,Kilifi South,Msumarini Dispensary,"11,659",Yes,Level 2,Stawisha Pwani
Kilifi,Magarini,Mtangani Dispensary,"28,442",New,Level 2,Stawisha Pwani
Kilifi,Kilifi South,Mtepeni Dispensary,"11,666",New,Level 2,Stawisha Pwani
Kilifi,Kilifi North,Mtondia Dispensary,"11,667",New,Level 2,Stawisha Pwani
Kilifi,Magarini,Mtoroni Dispensary,"18,309",New,Level 2,Stawisha Pwani
Kilifi,Kilifi South,Mtwapa Dispensary (Shimo La Tewa),"24,137",New,Level 2,Stawisha Pwani
Kilifi,Kilifi South,Mtwapa Sub County Hospital,"11,672",New,Level 4,Stawisha Pwani
Kilifi,Magarini,Mulunguni Dispensary,"21,787",New,Level 2,Stawisha Pwani
Kilifi,Ganze,Muryachakwe Dispensary,"11,653",New,Level 2,Stawisha Pwani
Kilifi,Malindi,Muyeye Health Centre (Municipal),"11,677",Yes,Level 3,Stawisha Pwani
Kilifi,Magarini,Muyu Wa Kae Dispensary,"25,679",New,Level 2,Stawisha Pwani
