County,Sub County,Facility,Mfl Code,Emr Site,Keph Level,Partner
Kisumu,Nyando,Holo Dispensary,"17,118",Yes,Level 2,Kisumu CoAg
Kisumu,Kadibo,Hongo Ogosa Health Centre,"13,609",Yes,Level 3,Kisumu CoAg
Kisumu,Kisumu West,Sunga Dispensary,"17,175",Yes,Level 2,USAID Nuru ya Mtoto
Kisumu,Muhoroni,Kandege Dispensary,"13,652",Yes,Level 2,Kisumu CoAg
Kisumu,Kisumu West,Usoma Health Centre,"16,664",Yes,Level 3,USAID Nuru ya Mtoto
Kisumu,Seme,Arito Langi Health Centre,"13,484",Yes,Level 3,HJF_Kisumu West
Kisumu,Seme,Asat Beach Dispensary,"13,487",Yes,Level 2,HJF_Kisumu West
Kisumu,Seme,Dago Jonyo Dispensary,"20,377",Yes,Level 2,HJF_Kisumu West
Kisumu,Seme,Kolenyo Health Centre,"17,172",Yes,Level 3,HJF_Kisumu West
Kisumu,Seme,Kombewa County Referral Hospital,"13,714",Yes,Level 4,HJF_Kisumu West
Kisumu,Seme,Korwenje Dispensary,"13,720",Yes,Level 2,HJF_Kisumu West
Kisumu,Seme,Kuoyo Kaila Health Centre,"17,171",Yes,Level 3,HJF_Kisumu West
Kisumu,Seme,Langi Kawino Dispensary,"18,250",Yes,Level 2,HJF_Kisumu West
Kisumu,Seme,Lolwe Health Centre,"21,262",Yes,Level 3,HJF_Kisumu West
Kisumu,Seme,Manyuanda Sub county Hospital,"13,770",Yes,Level 4,HJF_Kisumu West
Kisumu,Seme,Miranga Sub County Hospital,"13,810",Yes,Level 4,HJF_Kisumu West
Kisumu,Seme,Nduru Kadero Health Centre,"13,848",Yes,Level 3,HJF_Kisumu West
Kisumu,Seme,Onyinjo Dispensary,"17,173",Yes,Level 2,HJF_Kisumu West
Kisumu,Seme,Opapla Health Centre,"13,990",Yes,Level 3,HJF_Kisumu West
Kisumu,Seme,Oriang' Alwala Dispensary,"18,086",Yes,Level 2,HJF_Kisumu West
Kisumu,Seme,Osewre Dispensary,"20,069",Yes,Level 2,HJF_Kisumu West
Kisumu,Seme,Otieno Owala Health Centre,"20,024",Yes,Level 3,HJF_Kisumu West
Kisumu,Seme,Ratta Health Centre,"14,040",Yes,Level 3,HJF_Kisumu West
Kisumu,Seme,Rodi Health Centre,"14,057",Yes,Level 3,HJF_Kisumu West
Kisumu,Nyando,Kandida,"16,283",Yes,Level 2,Kisumu CoAg
Kisumu,Kadibo,Kanyagwal Dispensary,"13,654",Yes,Level 2,Kisumu CoAg
Kisumu,Muhoroni,Kasongo Dispensary,"16,282",Yes,Level 2,Kisumu CoAg
Kisumu,Nyakach,Katito Sub County Hospital,"13,657",Yes,Level 4,CIHEB Entrench
Kisumu,Nyando,Katolo-Manyatta Dispensary,"18,421",Yes,Level 2,Kisumu CoAg
Kisumu,Muhoroni,Kibigori Dispensary,"13,687",Yes,Level 2,Kisumu CoAg
Kisumu,Nyakach,Kibogo Dispensary,"13,688",Yes,Level 2,CIHEB Entrench
Kisumu,Kisumu East,Kibos Sugar Research Dispensary,"13,689",Yes,Level 2,CIHEB Entrench
Kisumu,Nyando,Kinasia Dispensary,"13,694",Yes,Level 2,Kisumu CoAg
Kisumu,Kisumu Central,Kisumu County Hospital,"13,704",Yes,Level 5,CIHEB Entrench
Kisumu,Kisumu Central,Kisumu Police Line Dispensary,"19,869",Yes,Level 2,CIHEB Entrench
Kisumu,Nyakach,Kodingo Health Centre,"13,727",Yes,Level 3,CIHEB Entrench
Kisumu,Muhoroni,Koru Dispensary,"17,110",Yes,Level 2,Kisumu CoAg
Kisumu,Kisumu Central,Lumumba Sub County Hospital,"13,738",Yes,Level 4,CIHEB Entrench
Kisumu,Nyando,Magina Health Centre,"18,430",Yes,Level 3,Kisumu CoAg
Kisumu,Muhoroni,Makindu Dispensary,"13,759",Yes,Level 2,Kisumu CoAg
Kisumu,Muhoroni,Mashambani Health Centre,"17,111",Yes,Level 3,Kisumu CoAg
Kisumu,Muhoroni,Masogo Sub County Hospital,"13,785",Yes,Level 4,Kisumu CoAg
Kisumu,Muhoroni,Miwani Health Centre,"13,816",Yes,Level 3,Kisumu CoAg
Kisumu,Muhoroni,Mnara Dispensary,"13,817",Yes,Level 2,Kisumu CoAg
Kisumu,Muhoroni,Muhoroni County Hospital,"13,831",Yes,Level 4,Kisumu CoAg
Kisumu,Kisumu West,Nyahera Sub County Hospital,"13,880",Yes,Level 4,CIHEB Entrench
Kisumu,Nyakach,Nyakach County Hospital,"13,921",Yes,Level 4,CIHEB Entrench
